violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
METER EXPIRED CC,2017-03-25T11:21:00Z,36,PPA,39.978083,-75.157733,19121
BUS ONLY ZONE,2017-03-18T23:19:00Z,51,PPA,39.968105,-75.160282,19130
OVER TIME LIMIT,2017-01-17T12:03:00Z,26,PPA,40.0052227254173,-75.1490031895456,NA
PARKING PROHBITED CC,2017-01-26T12:40:00Z,51,PPA,39.9565699468696,-75.1728756780399,19103
EXPIRED INSPECTION,2017-02-16T11:48:00Z,41,PPA,39.957677,-75.174608,19103
OVER TIME LIMIT CC,2017-02-16T14:18:00Z,36,PPA,39.957755,-75.17468,19103
EXPIRED INSPECTION,2017-02-20T12:22:00Z,41,PPA,39.956525,-75.172968,19103
PARKING PROHBITED,2017-01-13T23:45:00Z,41,POLICE,39.961251450491,-75.1870934146775,NA
STOP PROHIBITED CC,2017-02-03T10:46:00Z,76,PPA,39.950983,-75.193363,19104
METER EXPIRED,2017-03-24T12:42:00Z,26,PPA,40.027902,-75.147268,19141
STOP PROHIBITED CC,2017-03-07T12:47:00Z,76,PPA,39.946642,-75.163883,19107
METER EXPIRED CC,2017-03-17T17:05:00Z,36,PPA,39.9488,-75.170375,19103
OVER TIME LIMIT,2017-01-21T12:59:00Z,26,PPA,39.9684575890432,-75.1425654719866,NA
METER EXPIRED CC,2017-02-02T13:14:00Z,36,PPA,39.947878886203,-75.1719648046329,19103
SCHOOL ZONE,2017-02-28T08:46:00Z,36,PPA,39.940465,-75.161823,19147
LOADING ZONE,2017-03-27T09:50:00Z,31,PPA,40.049025,-75.068313,19149
PARKING PROHBITED CC,2017-03-01T14:54:00Z,51,PPA,39.954167,-75.16171,19107
FIRE HYDRANT,2017-03-07T11:14:00Z,76,PPA,39.946088,-75.21633,19143
METER EXPIRED CC,2017-03-17T08:54:00Z,36,PPA,39.96184,-75.155512,NA
OVER TIME LIMIT,2017-03-17T12:13:00Z,26,PPA,39.921398,-75.165883,19148
OVER TIME LIMIT,2017-03-24T14:05:00Z,26,PPA,39.921237,-75.166458,19148
METER EXPIRED CC,2017-03-24T15:05:00Z,36,PPA,39.948738,-75.146438,19106
EXPIRED INSPECTION,2017-02-18T11:47:00Z,41,PPA,39.943727,-75.145553,19106
METER EXPIRED,2017-03-11T11:15:00Z,26,PPA,39.993535,-75.147695,19140
PARKING PROHBITED,2017-03-04T18:45:00Z,41,PPA,39.97036,-75.134658,NA
METER EXPIRED CC,2017-03-02T21:07:00Z,36,PPA,39.949263,-75.151487,19106
SNOW EMERGENCY ROUTE,2017-03-14T03:54:00Z,51,POLICE,40.0202066204875,-75.2102158631493,NA
SNOW RELOCATION TOW,2017-03-14T02:35:00Z,76,POLICE,40.0191712199017,-75.2109509502932,NA
SIDEWALK,2017-01-13T08:22:00Z,51,POLICE,40.04458315916,-75.1246959746472,19120
STOPPING PROHIBITED,2017-02-04T15:20:00Z,51,PPA,40.026573,-75.224432,19127
METER EXPIRED CC,2017-03-25T11:13:00Z,36,PPA,39.948455,-75.167003,19102
PARKING PROHBITED,2017-01-01T15:59:00Z,41,POLICE,39.9189266671961,-75.1521873921636,19148
OVER TIME LIMIT,2017-02-20T16:09:00Z,26,PPA,40.034978,-75.131697,NA
EXPIRED INSPECTION,2017-02-04T09:48:00Z,41,POLICE,40.0147474242435,-75.1588624535039,19140
